timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618574037130,2087,HTTP Request,200,OK,Thread Group 1-1,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,2087,0,1754
1618574037518,1699,HTTP Request,200,OK,Thread Group 1-6,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1699,0,1366
1618574037418,1799,HTTP Request,200,OK,Thread Group 1-5,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1799,0,1466
1618574037223,1994,HTTP Request,200,OK,Thread Group 1-3,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1994,0,1663
1618574037918,1267,HTTP Request,200,OK,Thread Group 1-10,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1266,0,964
1618574037319,1898,HTTP Request,200,OK,Thread Group 1-4,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1898,0,1563
1618574037720,1513,HTTP Request,200,OK,Thread Group 1-8,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1513,0,1234
1618574037621,1630,HTTP Request,200,OK,Thread Group 1-7,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1629,0,1339
1618574037819,1435,HTTP Request,200,OK,Thread Group 1-9,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,1435,0,1145
1618574037133,2202,HTTP Request,200,OK,Thread Group 1-2,text,true,,381,399,10,10,https://petstore.swagger.io/v2/user/createWithArray,2202,0,1905
1618574039222,287,HTTP Request,200,OK,Thread Group 1-10,text,true,,482,194,10,10,https://petstore.swagger.io/v2/user/login?username=e&password=e123,287,0,0
1618574039222,291,HTTP Request,200,OK,Thread Group 1-4,text,true,,482,194,10,10,https://petstore.swagger.io/v2/user/login?username=g&password=g123,291,0,0
1618574039222,293,HTTP Request,200,OK,Thread Group 1-1,text,true,,482,194,8,8,https://petstore.swagger.io/v2/user/login?username=a&password=a123,291,0,0
1618574039234,281,HTTP Request,200,OK,Thread Group 1-8,text,true,,482,194,8,8,https://petstore.swagger.io/v2/user/login?username=a&password=a123,281,0,0
1618574039222,297,HTTP Request,200,OK,Thread Group 1-6,text,true,,482,194,6,6,https://petstore.swagger.io/v2/user/login?username=k&password=k123,296,0,0
1618574039222,298,HTTP Request,200,OK,Thread Group 1-5,text,true,,482,194,5,5,https://petstore.swagger.io/v2/user/login?username=i&password=i123,298,0,0
1618574039222,298,HTTP Request,200,OK,Thread Group 1-3,text,true,,482,194,5,5,https://petstore.swagger.io/v2/user/login?username=e&password=e123,298,0,0
1618574039251,277,HTTP Request,200,OK,Thread Group 1-7,text,true,,482,194,3,3,https://petstore.swagger.io/v2/user/login?username=m&password=m123,277,0,0
1618574039255,279,HTTP Request,200,OK,Thread Group 1-9,text,true,,482,194,2,2,https://petstore.swagger.io/v2/user/login?username=c&password=c123,279,0,0
1618574039336,289,HTTP Request,200,OK,Thread Group 1-2,text,true,,482,194,1,1,https://petstore.swagger.io/v2/user/login?username=c&password=c123,289,0,0
